AlphaURL,Title,MovieURL,Image,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Story by,Screenplay by,Productioncompanies,Release dates,Based on,Hangul,Revised Romanization,McCune\xe2\x80\x93Reischauer,Telugu,Narrated by,Dialogue by,Languages,Dialogues by,Color process,Countries,Composer,Country of origin,Original language,Executive producers,Producers,Editor,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Swedish,Genre,Executive producer,Production company,Production location,Japanese,German,Traditional,Simplified,Mandarin,Cantonese,Danish,Spanish,Literally,Animation by,Created by,Original work,Owner,Years,Film(s),Animated series,Television film(s),Preceded by,Theme music composer,Production locations,Editors,Hanja,Followed by,Burmese,Sinhala,Bengali,Producer,No. of episodes,Short film(s),French,Chinese,Hepburn,Direct-to-video,Kannada,Hebrew,Novel(s),Comics,Television series,Web series,Play(s),Video game(s),Soundtrack(s),Character(s),Adaptation by,Camera setup,Original languages,Also known as,Czech,Segment producers,Russian,No. of seasons,Composers,Finnish,Narration by,Greek,Type,Awarded for,Eligibility,Post-nominals,Status,Established,First awarded,Last awarded,Total awarded posthumously,Total recipients,Developed by,Voices of,Original title,Screen story by,Marathi,Inuktitut,Korean,Backgrounds by,Book(s),Original music,Theme park attraction(s)
https://en.wikipedia.org/wiki/List_of_films:_A,A (1998),https://en.wikipedia.org/wiki/A_(Kannada_film),https://upload.wikimedia.org/wikipedia/en/thumb/5/55/A_1998_Kannada_film_poster.jpg/220px-A_1998_Kannada_film_poster.jpg,Upendra,Upendra,"['B. Jagannath', 'B. G. Manjunath']","['Upendra', 'Chandini', 'Archana']",H. C. Venugopal,T. Shashikumar,Gurukiran,Uppi Entertainers,Yash Raj,['16\xa0January\xa01998\xa0(1998-01-16)'],148 minutes,India,Kannada,\xe2\x82\xb9 1.25 crores[1],\xe2\x82\xb9 20 crores [1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,"A Aa E Ee (2009, Tamil)",https://en.wikipedia.org/wiki/A_Aa_E_Ee_(2009_Tamil_film),https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Movie_poster_A_Aa_E_Ee.jpg/220px-Movie_poster_A_Aa_E_Ee.jpg,Sabapathy Dekshinamurthy,V. Seenivasan (dialogues),AVM K. Shanmugam,PrabhuNavdeepAravind AkashMonicaSaranya Mohan,Aruldas,K. ShankarK. Thangavel Kumaran,Vijay Antony,,AVM Productions,['9\xa0January\xa02009\xa0(2009-01-09)'],,India,Tamil,,,Krishna Vamsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,"A Aa E Ee (2009, Telugu)",https://en.wikipedia.org/wiki/A_Aa_E_Ee_(2009_Telugu_film),https://upload.wikimedia.org/wikipedia/en/thumb/4/43/A_Aa_E_Ee_Poster.jpg/220px-A_Aa_E_Ee_Poster.jpg,Srinivasa Reddy,,Boddam Ashok Yadav,SrikanthMeera JasmineSadha,Vijay C Kumar,Gowtam Raju,M. M. Srilekha,Sri Kalpana Arts,Sri Kalpana Arts,6 November 2009,,India,Telugu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,A-ge-man (1990),https://en.wikipedia.org/wiki/A-ge-man,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Tales_of_a_Golden_Geisha.jpg/220px-Tales_of_a_Golden_Geisha.jpg,Juzo Itami,,"['Seigo Hosogoe', 'Yasushi Tamaoka', 'Juzo Itami[1]']","['Nobuko Miyamoto', 'Masahiko Tsugawa', 'Hiroshi Okochi', 'Ryunosuke Kaneda']",Yoshihiro Yamazaki[1],,Toshiyuki Honda[1],,Toho,['2\xa0June\xa01990\xa0(1990-06-02) (Japan)'],119 minutes[1],Japan,,,,,Juzo Itami[1],"['Itami Films', 'Seigo Hosogoe Office[1]']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,A-Haunting We Will Go (1942),https://en.wikipedia.org/wiki/A-Haunting_We_Will_Go_(1942_film),https://upload.wikimedia.org/wikipedia/en/thumb/5/53/L%26H_A-Haunting_We_Will_Go_1942.jpeg/220px-L%26H_A-Haunting_We_Will_Go_1942.jpeg,Alfred L. Werker,Lou BreslowStanley Rauh,Sol M. Wurtzel,Stan LaurelOliver HardyDante the MagicianSheila Ryan John Shelton,Glen MacWilliams,Alfred Day,David ButtolphCyril J. Mockridge,,20th Century Fox,"August 7, 1942","66\' 40""",United States,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,A Rodeo Film (2021),https://en.wikipedia.org/wiki/A_Rodeo_Film,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/A_Rodeo_Film_Poster.jpg/220px-A_Rodeo_Film_Poster.jpg,Darius Dawson,Darius Dawson,Ryan Binse,"['Jermelle Simon', 'Phrederic Semaj', 'Charlee Earle']",Erin G. Wesley,Briana Chmielewski,Kyle Woods,,HBO Max,,19 minutes,United States,English,,,,,,"['April\xa02019\xa0(2019-04) (San Diego Film Week)', 'February\xa02,\xa02021\xa0(2021-02-02)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,The A-Team (2010),https://en.wikipedia.org/wiki/The_A-Team_(film),https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/A_team_poster_10.jpg/220px-A_team_poster_10.jpg,Joe Carnahan,,"['Stephen J. Cannell', 'Tony Scott', 'Spike Seldin', 'Jules Daly', 'Alex Young', 'Iain Smith']","['Liam Neeson', 'Bradley Cooper', 'Jessica Biel', 'Quinton Jackson', 'Sharlto Copley', 'Patrick Wilson']",Mauro Fiore,"['Roger Barton', 'Jim May']",Alan Silvestri,,20th Century Fox,"['June\xa011,\xa02010\xa0(2010-06-11)']",119 minutes[1],United States,English,$100\xe2\x80\x93110 million[2][3],$177.2 million[3],,"['Joe Carnahan', 'Brian Bloom', 'Skip Woods']","['Dune Entertainment', 'Top Cow Productions', 'Scott Free Productions']",,The A-Teamby Stephen J. CannellFrank Lupo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,A.K.G. (2007),https://en.wikipedia.org/wiki/A.K.G._(film),,Shaji N. Karun,,,"P. Sreekumar, Krishna Kumar",,,,,,['2007\xa0(2007)'],,India,Malayalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,Aa Ab Laut Chalen (1999),https://en.wikipedia.org/wiki/Aa_Ab_Laut_Chalen,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/AaAbLautChalen.jpg/220px-AaAbLautChalen.jpg,Rishi Kapoor,Rumi Jaffrey Raju Saigal,Rajiv KapoorRandhir KapoorRishi Kapoor,Akshaye KhannaAishwarya RaiRajesh Khanna,Sameer Arya,Rajiv Kapoor,Nadeem-Shravan,R.K. Films,,['22\xa0January\xa01999\xa0(1999-01-22)'],178 minutes,India,Hindi,\xe2\x82\xb99 crore[1],\xe2\x82\xb916.3 crore[1],,Sachin Bhowmick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/List_of_films:_A,Aa Chithrashalabham Parannotte (1970),https://en.wikipedia.org/wiki/Aa_Chithrashalabham_Parannotte,,P. Balthasar,K. Sivadas,P. Balthasar,Prem NazirSheelaKaviyoor PonnammaAdoor Bhasi,T. N. Krishnankutty Nair,N. P. SureshT. R. Sreenivasalu,G. Devarajan,,,['29\xa0October\xa01970\xa0(1970-10-29)'],,India,Malayalam,,,,K. Sivadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
